Name,ID,Meaning
1 Credit Clear,621fb5bf-5498-4d8f-b4ac-db4d40d401bf,For streams with an emphasis on completing a coin-op arcade game without using any continues
100%,e659959d-392f-44c5-83a5-fb959cdbaccc,For streams with an emphasis on the objective of completing 100% of a game
12 Hour Challenge,a31daeb5-edc2-4b29-afa1-84c96612836d,"For streams related to the participation in or discussion of the annual 12 Hour Challenge event, in which streamers attempt to learn a speedrun within 12 hours"
32X,daedc68b-34a9-4664-b594-ebf61bdbaa75,For streams in which the streamer is playing on a 32X console
3D Modeling,b97ee881-e15a-455d-9876-657fcba7cfd8,For streams with an emphasis on the process of developing a representation of any surface of an object in three dimensions via specialized software
3D Printing,6803fe7e-4e3d-4369-a8ae-1dc2afb758f9,For streams with an emphasis on the production of physical objects from 3D digital models
3DS,22b2fa33-5edd-4bb1-b5f6-9f059121f9cd,For streams in which the streamer is playing on a 3DS console
A11y,358f9adf-967c-4052-bf14-287c75997a25,For streams and content featuring the accessibility community
Abkhazia,4908bd55-2809-4e4b-bcc3-c7dd2f9a0ade,For streams and content featuring the Abkhazian community
Achievement Hunting,27937cec-5cfc-4f56-b1d3-f6e1d67735e2,For streams with an emphasis on the acquisition of in-game achievements
Acoustic,eea4d45b-52e0-4a16-b0df-64f4c55bc716,"For streams that feature the discussion, production, or authorized playback of acoustic music"
Action Sports,a7133612-c49e-4015-98b9-1ace40a65dda,For streams that feature the discussion or activity of action sports
ADD,326bf42d-75ab-4701-9862-faf0c6e24fc8,For streams and content featuring the attention deficit disorder community
ADHD,2193eee1-b8f0-43bd-a6d9-dba8a67528a1,For streams and content featuring the attention deficit hyperactivity disorder community
Afghanistan,e338363b-f3b4-4a27-9ead-d4286db06ba4,For streams and content featuring the Afghan community
African American,481ba9ce-8101-4a42-b026-b6aa200fdd8c,For streams and content featuring the African American community
African Diaspora,2569ccae-8c65-4946-8301-2595454a9a11,For streams and content featuring the African Diaspora community
Agender,ed013c7c-c147-4de5-9a17-6b2a06f54bfe,For streams and content featuring the agender community
Agnostic,3b5a2e0a-9c74-4bc9-bb6b-77fafa0a0320,For streams and content featuring the agnostic community
Aland Islands,5cf35917-aed0-4012-be47-ed178fa4269b,For streams and content featuring the Alandic community
Alaska Native,c53df541-7081-48d2-892c-2ff6c3817dc3,For streams and content featuring the Alaska Native community
Albania,c63913dd-4459-46f9-91a2-2befd5cffd35,For streams and content featuring the Albanian community
Algeria,4f40c142-b4ea-4f99-9028-3989d1933b67,For streams and content featuring the Algerian community
All Bosses,860f0dc1-5d6b-4504-a3e2-eca15a1cb816,For streams with an emphasis on completing a game and all of its bosses
Ally,6131f3f8-67aa-4c2d-b9c3-daa8f95a850e,For streams featuring content relevant to collaborators and accomplices of fighting injustice and promoting equity
Alternative Music,57e81aba-c8ae-48aa-8fba-7a7eb9d3dd23,"For streams that feature the discussion, production, or authorized playback of alternative music"
AMA,67259b26-ff83-444e-9d3c-faab390df16f,"For streams with an emphasis on the answering of viewer questions. Abbreviation for \""Ask Me Anything.\"""
American Football,1942f267-26a3-4ee8-9aa0-48cc4aea988e,For streams that feature the discussion or activity of American Football
American Samoa,67fb070b-0a46-4074-89bd-bcbb64b8c31f,For streams and content featuring the American Samoan community
Amiga,ecf726fc-1531-45b5-abb5-9de4ef66b856,For streams in which the streamer is playing on an Amiga console
Amputee,f521e292-eac7-4c89-a16d-4f9b4bd8ebf2,For streams and content featuring the amputee community
Analysis,ef4f33d5-a6cb-4935-bc1d-97c818a1e39e,For streams with an emphasis on the critical analysis and discussion of another subject
Andorra,3960f8c8-43ab-44b2-baf0-89a086882dc2,For streams and content featuring the Andorran community
Androgynous,ad058fd2-2277-4f08-82af-d8564e10aec7,For streams and content featuring the androgynous community
Anglo-Indian,023a3deb-d795-467d-9ddb-33ce5985697e,For streams and content featuring the Anglo-Indian community
Angola,98571afc-225c-4c28-8840-86303ccf53f9,For streams and content featuring the Angolan community
Anguilla,aab6c3ee-1bea-454a-8ee8-34beda9f096e,For streams and content featuring the Anguillan community
Animals,3dc8f084-d886-4264-b20f-8bd5f90562b5,For streams that feature animals of all types
Animation,e3a6b378-232b-4ec2-9a82-86b72851e09a,For streams with an emphasis on the production of animated works of art
Anime,6606e54c-f92d-40f6-8257-74977889ccdd,For streams with an emphasis on the Japanese anime style of art
Anniversary,b2c03e34-e7c2-4fcd-939a-6853838edce5,For streams related to the anniversary of an event of some significance to the streamer or their community
Antigua,12a3b917-bcd4-4902-9919-9e24de6c6855,For streams and content featuring the Antiguan community
Anxiety,d47ba636-e313-4887-ad18-237ef81a5161,For streams and content featuring the anxiety community
Any%,c9193f35-a88f-4f03-af99-b73fe0db60f3,For streams with an emphasis on completing a game as quickly as possible without restriction
Arab,10efb474-6975-4538-a1a7-e40ed8093dac,For streams and content featuring the Arab community
Arcane Premiere,b34abf4d-e4b4-44ba-bc91-3dfe5d04613a,For streams and content participating in the Arcane Premiere event
Area Control,a7bd15ad-7d2b-4a4c-a7e9-e75a70b51e65,For streams featuring games that place an emphasis on gaining control or influence over areas of the game world
Arena,cc5eabb5-3f2c-41b5-b9b5-399a9b4d40ea,For streams that feature the Arena gameplay mode
Argentina,3f88591b-21bd-43eb-94f2-c4fa9de34470,For streams and content featuring the Argentinian community
Armenia,6949aede-abc2-4ecf-b884-4a8f36256c94,For streams and content featuring the Armenian community
Aromantic,df448da8-7082-45b2-92ad-c624dba6551f,For streams and content featuring the aromantic community
Art Commissions,23d34d4a-5db2-45a7-96cf-370df33c18fc,For streams with an emphasis on the discussion or design of commissioned artwork
Aruba,95d688a2-0cd0-4cd2-8878-73a0d2eba34d,For streams and content featuring the Aruban community
Asexual,708c1251-4550-486a-942f-a1dcaabb41c8,For streams and content featuring the asexual community
Asia-Pacific Server,15530b1f-f40f-457c-8db2-23e0828518d9,For streams that feature gaming on servers in the Asia-Pacific region of the world
Asian,5f399c46-3d61-421e-94ae-1b4ef87e47b7,For streams and content featuring the Asian community
Asian American,5f399c46-3d61-421e-94ae-1b4ef87e47b7,For streams and content featuring the Asian American community
Assistive Technology,2c3b4430-41f2-4004-8e03-7a2cec3937ec,For streams and content featuring the use of assistive technology
Atari,e820059e-880c-4d0f-905d-af55a4c3ab49,For streams in which the streamer is playing on a Atari console
Atheist,cafbdbb7-b640-4bba-b52b-c07472f6e0f5,For streams and content featuring the atheist community
Athletics,72340836-353f-49bf-b9be-1aac4f658afe,For streams that feature the discussion or activity of athletics
Auditory ASMR,64d9afa6-139a-48d5-ab4e-51d0a92b22de,For streams with an emphasis on the triggering of a tingling or static sensation in viewers using auditory stimuli
Australia,048c2c71-5ba9-4d71-b82e-8e0ed72a4785,For streams and content featuring the Australian community
Austria,1069ad0c-bcba-4a00-877d-61dd017cc17f,For streams and content featuring the Austrian community
Autism,d5187ad5-af17-4b61-9ea9-e122f082952a,For streams and content featuring the autism community
Autistic,205f8d84-fd7e-4fef-b3a5-86022cb3f2e6,For streams and content featuring the autistic community
Automotive,1400ca9c-84ea-414e-a85b-076a70d38ecf,"For streams with an emphasis on automotive vehicles, including their repair and modification"
Azerbaijan,204f1266-8000-4619-92a3-dd988ff3ea94,For streams and content featuring the Azerbaijani community
Backseating Allowed,96b6073f-450d-4248-8ed4-988e28f3f759,For streams in which chat participants are welcome to tell the streamer how to play their game
Badminton,dc7677bf-0ac5-45df-a4c3-5d395015f290,For streams that feature the discussion or activity of badminton
Bahamas,c8aa135e-8c2e-4a70-9e3f-e1c82b79ea84,For streams and content featuring the Bahamian community
Bahrain,a57c910e-2e38-49c6-b4b4-7382f28809be,For streams and content featuring the Bahraini community
Bajan,db3ddf9e-e711-4a87-85c0-3a78b4ca668a,For streams and content featuring the Bajan community
Baking,31866a92-269d-4df3-a2fb-58081bf97378,For streams with an emphasis on the preparation of baked goods
Balance Training,8315b8d6-9837-4218-9bc1-3c0a3e5bb41d,For streams with an emphasis on physical training with a focus on developing balance or flexibility
Ballroom Dance,f6dda089-56ef-4fb5-b06e-ddeba46fb5f2,"For streams that feature dancing with a partner, either socially or competitively"
Bangladesh,a238a937-bbe5-436b-8d77-3fa035f0703d,For streams and content featuring the Bangladeshi community
Barbados,0832ff2b-6bd9-4792-b718-acaf39e2e0d7,For streams and content featuring the Barbadian community
Barbuda,67d93ea9-d540-4546-8325-172c2b6c4375,For streams and content featuring the Barbudan community
Baseball,57765528-fcd4-4942-95e5-c18ce13427f1,For streams that feature the discussion or activity of baseball
Basketball,c9ee687c-e233-4e60-9a32-70eda37581c7,For streams that feature the discussion or activity of basketball
Beginner Players,ad18ee82-c0b2-46d4-b4f9-d45994443bd7,"For streams that feature new, low skill-level players"
Behind the Scenes,26befb18-4ddc-41c1-8d39-ffeada297428,For streams with an emphasis on discussing or revealing behind the scenes details from a larger event
Belarus,0a1db25d-ff21-43ed-993d-b4ca7cb62092,For streams and content featuring the Belarusian community
Belgium,807277ea-cbd7-46fc-8b96-bc4d7ccb55de,For streams and content featuring the Belgian community
Belize,fc36ba73-e249-4f0a-9ed5-c46d24ceda0e,For streams and content featuring the Belizean community
Benin,d715edd0-1d3e-498f-b23c-11fff8514059,For streams and content featuring the Beninese community
Bermuda,bd154746-afdf-4bad-becf-6d986e6c58c3,For streams and content featuring the Bermudian community
Bhutan,b5ba6f48-9d5b-41d8-9401-51a245246773,For streams and content featuring the Bhutanese community
Billiards,7706b4a4-a582-4e85-9ad6-c4508687c278,For streams that feature the discussion or activity of billiards
Bipolar Disorder,c51a3b9a-f7d6-464e-a6a0-3e2fac85a543,For streams and content featuring the bipolar disorder community
Biracial,093c109e-e2c8-4ad6-9bd5-edf640cf3bf2,For streams and content featuring the Biracial community
Biromantic,abf7f706-02e4-438a-8a49-41b736a82275,For streams and content featuring the biromantic community
Birthday,6c27ea04-fceb-4a13-8e5e-2c500432c7ff,For streams related to the birthday of the streamer
Bisexual,ede26632-aa15-4a55-af9b-d2775b00c4c3,For streams and content featuring the bisexual community
Black,4e6a9848-6f70-4172-b233-3df36e2e3120,For streams and content featuring the Black community
Blind,b7453475-5504-44aa-9b1c-6b4c885aeaf1,For streams and content featuring the blind community
Blindfolded,2e048a36-0e6a-4322-a16b-45dd0268c9bf,For streams in which the streamer is blindfolded
BlizzCon,0c86fabf-317f-41e5-9eda-bd9880d70375,For streams related to the attendance or discussion of the annual BlizzCon event
Blues,26bb14e0-0b3e-4f7c-9701-16367b6d55e3,"For streams that feature the discussion, production, or authorized playback of blues music"
BMX,e62cb1d5-a47d-4690-a373-fe4c0856f78b,For streams that feature the discussion or activity of bike motocross
